[ 2015-01-08T14:35:47+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --START--
[ 2015-01-08T14:35:47+08:00 ] /shop/api.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-01-08T14:35:47+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --START--
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --START--
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --START--
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-01-08T14:37:17+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-01-08T14:37:18+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --START--
[ 2015-01-08T14:37:18+08:00 ] /shop/api.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-01-08T14:37:18+08:00 ] /shop/api.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-01-08T14:39:16+08:00 ] /shop/api.php?s=User/index&username=aaa&passwd=bbb | ERR: (ThinkException) 模板不存在[Api/Tpl/User/index.html]
[ 2015-01-08T14:47:47+08:00 ] /shop/api.php?s=User/reg&name=aaa&passwd=bbb | ERR: (ThinkException) 模板不存在[Api/Tpl/User/reg.html]
[ 2015-01-08T15:15:21+08:00 ] /shop/api.php?s=User/test&name=testad&passwd=bbb | ERR: (ThinkException) 非法操作test
[ 2015-01-08T15:17:04+08:00 ] /shop/api.php?s=User/test&name=testad&passwd=bbb | ERR: (ThinkException) 非法操作test
