[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | INFO: Tag[ app_begin ] --START--
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8] Undefined index: uid IndexAction.class.php 第 7 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | INFO: Tag[ view_template ] --START--
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | INFO: Tag[ view_parse ] --START--
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-01-05T00:05:15+08:00 ] /shop/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
